Name,ParentFolder,LastFolder,PathDepth,Type,FullName,Value,AppliedTo
$ts_adj_max_temp,$ACT_AnnualTake,$ACT_AnnualTake.Urban_demands,3,TimeSeriesVariable,$ACT_AnnualTake.Urban_demands.ts_adj_max_temp,SILO_Climate.ACT_Climate_for_demand_model_csv.Airport_-35_3_149_15_Tmax,NA
$ts_evap,$ACT_AnnualTake,$ACT_AnnualTake.Urban_demands,3,TimeSeriesVariable,$ACT_AnnualTake.Urban_demands.ts_evap,SILO_Climate.ACT_Climate_for_demand_model_csv.Burrinjuck_-35_0_148_6_Evap,NA
$ts_rain,$ACT_AnnualTake,$ACT_AnnualTake.Urban_demands,3,TimeSeriesVariable,$ACT_AnnualTake.Urban_demands.ts_rain,SILO_Climate.ACT_Climate_for_demand_model_csv.Airport_-35_3_149_15_Rain,NA
$pv_seasonality,$ACT_AnnualTake,$ACT_AnnualTake.Urban_demands,3,Pattern Variable,$ACT_AnnualTake.Urban_demands.pv_seasonality,{0.969968764,NA
$mv_last_7_days_max_temp,$ACT_AnnualTake,$ACT_AnnualTake.Urban_demands,3,Modelled Variable,$ACT_AnnualTake.Urban_demands.mv_last_7_days_max_temp,Functions/Functions\Functions@ACT_AnnualTake@Urban_demands@$ts_adj_max_temp,NA
$mv_Airport_rain_last_21_days,$ACT_AnnualTake,$ACT_AnnualTake.Urban_demands,3,Modelled Variable,$ACT_AnnualTake.Urban_demands.mv_Airport_rain_last_21_days,Functions/Functions\Functions@ACT_AnnualTake@Urban_demands@$ts_rain,NA
$mv_last_7_days_evap,$ACT_AnnualTake,$ACT_AnnualTake.Urban_demands,3,Modelled Variable,$ACT_AnnualTake.Urban_demands.mv_last_7_days_evap,Functions/Functions\Functions@ACT_AnnualTake@Urban_demands@$ts_evap,NA
$pv_DailyBF,$ACT_AnnualTake,$ACT_AnnualTake.Return_flows,3,Pattern Variable,$ACT_AnnualTake.Return_flows.pv_DailyBF,{64.99845,NA
$mv_LMWQCC_baseline_outflow,$ACT_AnnualTake,$ACT_AnnualTake.Return_flows,3,Modelled Variable,$ACT_AnnualTake.Return_flows.mv_LMWQCC_baseline_outflow,UMB_LMWQCC_generated_outflow/Downstream Flow\Downstream Flow,NA
$mv_Gross_other_take,$ACT_AnnualTake,$ACT_AnnualTake.Results,3,Modelled Variable,$ACT_AnnualTake.Results.mv_Gross_other_take,Functions/Functions\Functions@ACT_AnnualTake@Other_demands@$f_other_licence_demend@$f_other_licence_demend,NA
$mv_Gross_urban_take,$ACT_AnnualTake,$ACT_AnnualTake.Results,3,Modelled Variable,$ACT_AnnualTake.Results.mv_Gross_urban_take,Functions/Functions\Functions@ACT_AnnualTake@Urban_demands@$f_Urban_demand@$f_Urban_demand,NA
$pv_Corin_ACT_Env_Release,$ICON_storages,$ICON_storages.Corin.ACT_Env_Guidelines,4,Pattern Variable,$ICON_storages.Corin.ACT_Env_Guidelines.pv_Corin_ACT_Env_Release,{15,NA
$pv_PMF_release,$ICON_storages,$ICON_storages.Corin.ACT_Env_Guidelines,4,Pattern Variable,$ICON_storages.Corin.ACT_Env_Guidelines.pv_PMF_release,{0,NA
$pv_RMF_release,$ICON_storages,$ICON_storages.Corin.ACT_Env_Guidelines,4,Pattern Variable,$ICON_storages.Corin.ACT_Env_Guidelines.pv_RMF_release,{150,NA
